SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,24741.44964245,33060.34464335,15101.40195417,21016.43161547,21178.23665392,.1,.63173936,.63176936,.18607671,2923.68929589,6483.43383023,1335,49449.60088
04/15/2025 00:15:12,N,23151.5928503,32302.07236061,14677.74842071,21267.19892805,21390.06783026,.1,.51789596,.53179385,.29053295,3002.81988327,6304.4231176,1336,47823.25274
04/15/2025 00:30:11,N,22098.33925823,31937.00416872,14407.23416137,21463.74618005,21601.73038721,.1,.51650728,.51758369,.29140383,2997.42924999,6420.65992161,1339,46981.36616
04/15/2025 00:45:13,N,21807.77519626,31063.15549967,14076.20643615,21654.94564771,21757.70163679,.1,.51259726,.51742637,.28006982,3103.80802271,6519.19955831,1340,46556.6438
04/15/2025 01:00:14,N,21322.91753918,30621.97953352,14027.86935806,21602.87793938,21751.82200448,.1,.50582112,.5069204,.2811391,3232.40504223,7153.64798933,1487.65464782,46270.77701
04/15/2025 01:15:12,N,20781.40377601,30359.91763529,13119.08415985,21639.59775471,21772.30763554,.1,.51523864,.51858033,.28338151,3354.1145581,6978.33960109,1492.65464782,45844.9483
04/15/2025 01:30:12,N,20937.4864752,30365.75431427,13106.96383666,20993.15694034,21091.58701312,.1,.60596099,.6089604,.28006982,3343.75322104,7045.60943561,1503.95465087,45194.25425
04/15/2025 01:45:12,N,20359.79408522,30398.07449207,13106.80039978,21241.26656544,21331.07156956,.1,.5086991,.51777197,.28911269,3191.38304304,7109.77813154,1504.95620727,45031.01017
04/15/2025 02:00:13,N,20198.15404327,30494.83064017,13346.20629119,21168.3994801,21248.80881237,.1,.41590307,.42605117,.18538683,3077.93204891,7097.0730887,1347.90000009,44345.94792
04/15/2025 02:15:11,N,20003.43207018,30679.22998032,13167.2696228,21165.74951171,21255.3881607,.1,.42312234,.43100163,.18464013,2952.11096726,6616.75897571,1345.90000009,44185.15514
04/15/2025 02:30:11,N,20060.11668139,30786.47926697,13172.52568817,20935.8073616,20992.54492187,.1,.40443282,.41938973,.18133666,2957.49545372,6830.57716286,1349.90000009,44085.61401
04/15/2025 02:45:11,N,19852.12371287,30784.61521348,13172.98606872,20687.96392619,20695.63397395,.33388528,.41932501,.42886112,.18629695,2964.97981591,7138.66414553,1349.90000009,43503.92218
04/15/2025 03:00:15,N,20703.54723478,31044.01867041,13101.83548736,19703.42919528,19720.09064853,.1,.49869107,.50467375,.18274352,2938.05228482,6704.40285521,1349.90000009,43023.17879
04/15/2025 03:15:11,N,20337.65152859,30505.32953802,13102.97655487,19774.69421106,19878.71137338,.1,.46319517,.47974652,.18431219,2981.00431433,6639.38928347,1349.90000009,43188.42493
04/15/2025 03:30:11,N,20263.99834085,30527.71503043,13106.31967926,19907.49312847,20038.56150692,.1,.52360967,.53294774,.18281678,2936.47828011,6704.13656455,1350.90000009,43136.49813
04/15/2025 03:45:13,N,20359.93038927,30527.60515448,13116.19894409,19388.91321468,19464.8904767,.1,.52169364,.53133588,.18398795,2953.28825926,6712.87971478,1349.90000009,42621.60176
04/15/2025 04:00:15,N,20497.10479005,30254.61418839,13123.64565277,18662.16285017,18852.41556623,.1,.41043506,.41872409,.18186066,2976.76758855,7133.04767018,1349.90000009,42154.04178
04/15/2025 04:15:12,N,20747.95275748,30186.05283781,13103.78084564,18451.15175803,18587.87443239,.1,.41589342,.42065811,.18152554,2953.2156415,7376.68552523,1349.90000009,42172.0723
04/15/2025 04:30:13,N,20742.6708965,30204.42834135,13123.65749359,18348.72992613,18524.77335265,.1,.64121494,.64863178,.29276985,2960.69515408,7362.72176699,1350.90000009,42045.10789
04/15/2025 04:45:10,N,20693.5264254,30305.11829277,13123.58943939,18326.27202932,18387.88642828,3.64631495,.63161792,.63619606,.28945221,2949.56755701,7357.4547188,1346.90000009,41921.36268
04/15/2025 05:00:11,N,21129.12024334,30265.26738091,13112.30459594,17955.51721462,17955.51721462,1.32906184,.60920168,.60977142,.28855879,3080.21947973,7416.08322903,1347.90000009,42235.02038
04/15/2025 05:15:11,N,22302.16035355,30270.23452898,13073.14986419,17451.90614461,17451.90614461,.1,.57124017,.58475001,.29249887,3029.26842351,7400.83759256,1347.90000009,42476.56458
04/15/2025 05:30:11,N,23590.12647821,30274.26194783,13085.62081146,16551.9178934,16551.9178934,.1,.59036175,.59369066,.28865457,3187.73733042,7390.49934858,1345.90000009,42938.8024
04/15/2025 05:45:10,N,24292.39749498,30544.16556879,13214.73461151,16178.33536186,16178.34459066,.1,.83185049,.83325484,.28939339,3299.38651853,7392.42962643,1345.90000009,43507.15782
04/15/2025 06:00:16,N,24941.71987058,29588.10445353,13250.14639282,15810.54051604,15810.54401472,.32999999,1.07529076,1.07847427,.29117256,3380.13458264,8618.87011161,1345.90000009,43975.33405
04/15/2025 06:15:10,N,26395.49258857,29436.3544602,13209.96804809,14934.8617202,14934.8617202,.34843505,.7597898,.76066662,.28886586,4181.35914351,8637.57194016,1347.90000009,44976.30984
04/15/2025 06:30:11,N,27131.34469286,29830.33045193,13315.12004089,14025.8167518,14025.8167518,.34843505,.56491017,.57293943,.32120401,4642.00464809,8629.78772239,1342.90000009,45394.13816
04/15/2025 06:45:11,N,27861.54984464,30326.68857743,13625.90729427,13780.01982871,13780.01982871,.34843505,.63210184,.63533675,.30822163,4596.97077251,8621.21207253,1341.90000009,46005.93833
04/15/2025 07:00:13,N,27514.93740498,30643.09194823,14198.64058494,13671.15655475,13671.15655475,.39843505,21.65926219,21.66543129,.94307898,4880.44043523,8432.63435973,1347.90000009,46064.21209
04/15/2025 07:15:10,N,27271.09969797,29901.7562923,13444.90229225,13174.44088828,13174.44088828,.39843505,240.54791019,245.08531662,.17374999,5688.64064652,8305.29020848,1362.92065406,46015.71987
04/15/2025 07:30:10,N,26876.84512608,29858.76463493,13446.40585517,12804.82850466,12804.82850466,.69099602,899.34087361,920.3833076,1.27020269,5156.44192209,8234.35967265,1346.52021443,46110.79627
04/15/2025 07:45:11,N,26572.14217481,29931.33575191,13445.69296646,12275.07260157,12275.07308527,.52843505,2551.21250499,2556.17850007,7.033398,4272.5389677,8317.25355394,1346.90838932,46197.40198
04/15/2025 08:00:14,N,25432.68941177,30005.18841287,13210.48338413,12026.28954793,12026.29003068,.45843505,4598.68307709,4605.6038835,7.033398,3642.88655988,6705.67939251,1342.90000009,46311.6317
04/15/2025 08:15:10,N,23677.35789199,29353.8649975,13089.47558593,11518.08454844,11518.08503214,.71988929,7539.7783482,7565.08080697,7.033398,3433.19613642,5962.72418746,1336.9099156,46739.69556
04/15/2025 08:30:11,N,21305.77413459,28973.8172357,12842.52548217,11377.99907298,11377.99907298,.34843505,11008.07913792,11057.88989984,7.033398,3038.59832042,6469.86650835,1341.94135281,47695.27822
04/15/2025 08:45:10,N,19319.22032398,27195.32948255,12076.38605499,11343.37089692,11343.37089692,.34843505,13784.71301597,13920.92121165,7.033398,3056.84647579,6765.09685452,1340.91908104,48202.26645
04/15/2025 09:00:13,N,17949.08518097,26583.15265369,11555.43177032,11465.99626783,11487.68940977,.1,16158.89393699,16634.64240348,7.033398,3522.61050275,6445.90175893,1331.90000009,49653.54668
04/15/2025 09:15:10,N,17143.86747516,25309.63095188,10835.19678497,11621.0986325,11677.21959464,1.10565554,17582.87257432,18211.51060533,7.033398,3415.78882558,5765.49193274,1331.90000009,50240.50057
04/15/2025 09:30:11,N,16873.36691604,23821.38976716,9984.84464263,12428.68316043,12476.27061618,1.48969314,17122.99893474,17858.72142696,7.033398,3470.10308001,6411.75042587,1329.90000009,49889.91161
04/15/2025 09:45:10,N,15291.33188771,23594.75680923,9883.43196105,12730.34629632,12779.61363412,.1,18384.2797116,19050.92153823,7.033398,3592.96720043,6504.1132887,1328.90000009,50407.78334
04/15/2025 10:00:14,N,14710.75685788,22975.33478436,9350.95327124,13701.49596121,13731.4337845,1.06633011,19274.82315874,20458.61832475,7.033398,3069.7491649,5985.17336577,1325.90000009,50712.60817
04/15/2025 10:15:12,N,14701.11427826,23250.18719696,9313.78732299,13585.92682692,14071.3909907,.81230542,19976.52461838,21085.11898016,7.033398,3172.30171255,5834.55887842,1323.90000009,51867.76572
04/15/2025 10:30:12,N,14954.82390991,23500.20202329,9289.29888512,13134.31825698,13362.48382342,.99861977,20464.56671237,21762.04004502,7.033398,3198.5131288,6074.41385304,1323.90000009,51650.20603
04/15/2025 10:45:11,N,14837.49695515,23539.38588764,9319.77810289,12941.98352518,12943.57688704,1.45041296,20692.08505105,21904.96464014,7.033398,3258.1625128,6185.19397521,1325.90000009,51453.56208
04/15/2025 11:00:18,N,15103.06778861,23914.91547044,9521.05331166,12623.55453407,12623.55453407,3.33181271,20834.95172095,22457.82545208,7.033398,3300.69334461,6647.55133515,1320.90000009,51845.52937
04/15/2025 11:15:12,N,15578.09434224,23533.52642655,9339.12272644,12255.77762879,12255.77762879,.1,21389.98615974,22707.4585337,7.033398,3262.5516415,6432.22082495,1317.90000009,51813.8273
04/15/2025 11:30:11,N,15535.01940768,23729.91053223,9340.48897552,11782.99298241,11842.68245342,.1,21439.37008333,23078.71635866,7.033398,3355.08127144,6611.00475311,1320.90000009,52157.26056
04/15/2025 11:45:13,N,15811.74151671,23841.65135979,9339.61946105,11473.01889216,11508.91610896,.1,21654.33940351,23321.41457879,7.033398,3910.25718666,6656.64179921,1319.90000009,52391.73952
04/15/2025 12:00:19,N,16622.14762448,24146.31854844,9305.33950805,11037.85555161,11061.58194626,.1,21301.8580991,22629.18580722,7.033398,3278.03715155,6888.00535798,1316.90000009,51844.75794
04/15/2025 12:15:13,N,16904.78891049,23947.24629712,9418.8173294,11246.345164,11304.2242071,60.70963678,20981.44785463,22519.88140594,7.033398,3245.76477264,6822.3264296,1312.90000009,52298.3346
04/15/2025 12:30:11,N,17417.13849069,24077.0005877,9472.76924896,10956.00489282,10987.08624243,61.28084073,20948.57194459,22354.71995973,170.76339373,3236.19756848,6863.83512568,1316.90000009,52340.49175
04/15/2025 12:45:12,N,17566.20170167,25013.61472541,9491.46893463,10734.11832939,10809.0513526,58.46999607,21477.25643908,22867.3999443,7.033398,3313.68073507,6907.8030188,1312.90000009,52975.17981
04/15/2025 13:00:17,N,17311.6664931,25165.34726858,9616.32787475,10373.20188999,10492.20188522,58.46999607,22284.73083032,23778.32064962,162.54339251,3535.71536517,7053.44617247,1310.53613376,53707.51294
04/15/2025 13:15:13,N,18180.43850352,25202.70975518,9628.82569885,9956.2591167,9956.2591167,62.1042057,22213.46638345,23409.56759309,7.033398,3235.81064447,6994.22033524,1310.90000009,53298.12421
04/15/2025 13:30:12,N,17542.00615933,25071.19356131,9855.90028381,9877.54619473,9938.81858509,58.46999607,22409.08551406,23750.21793508,7.033398,3468.55763211,7067.44937229,1314.90000009,53279.54826
04/15/2025 13:45:13,N,17787.52864539,25260.70680451,10084.25840816,9587.40235593,9635.30292776,58.46999607,22867.7722721,24189.04203987,7.033398,3338.07070402,7054.48449683,1316.90000009,53171.7423
04/15/2025 14:00:15,N,18406.43353636,25252.72499966,10186.54440174,9476.34029233,9589.34029233,58.46999607,22821.13997173,24018.32296848,196.09339556,3231.92128265,6910.46658587,1312.90000009,53739.96068
04/15/2025 14:15:10,N,18543.07346519,26149.19600319,10696.93914089,9536.65563464,9666.05564379,62.71041653,22850.04590988,24159.7267508,7.039398,3350.02539055,6870.76631084,1310.90000009,54182.50486
04/15/2025 14:30:12,N,18541.90715846,26285.7174819,10787.19283352,9296.21218953,9416.01219258,58.46999607,22839.46984863,24397.06813335,7.033398,3472.79588953,7024.26065364,1345.00156259,54387.6242
04/15/2025 14:45:13,N,19653.47909255,27253.92688534,11033.68024501,8950.28612676,9316.8579522,61.02766595,22639.45541256,24172.50197553,7.033398,3407.51325577,7097.96664491,1393.90000009,54238.0392
04/15/2025 15:00:14,N,20265.20630215,28415.65385305,11748.18477916,8996.33227929,9332.44611176,62.59763775,22474.67688465,24012.61966419,7.033398,3403.43022408,7127.1150383,1399.90000009,54819.98837
04/15/2025 15:15:13,N,20479.05040528,27366.90419018,11268.92474517,8846.16088707,9251.76890225,58.46999607,21811.08801794,23147.27686309,7.033398,3346.74074943,7114.51901951,1401.90000009,54421.44215
04/15/2025 15:30:11,N,20770.39146531,27711.19136679,11769.93026886,8690.24421247,8967.61255583,58.46999607,22043.39142751,23254.74075555,7.033398,3341.83390546,7101.33970558,1401.90000009,54630.00474
04/15/2025 15:45:11,N,21808.18669245,27990.88816177,11767.23625526,8665.23611709,8885.05028793,58.46999607,21876.01294994,23036.2076559,7.033398,3366.96309895,7068.71283817,1397.90000009,55366.85317
04/15/2025 16:00:15,N,21645.08603559,27724.75174891,11788.71989059,8756.67424255,8995.69086319,58.46999607,21934.96961534,23105.55611169,7.033398,3321.25196737,7114.91833662,1398.60117197,55509.12208
04/15/2025 16:15:11,N,21852.27362523,28157.37581539,12021.20921325,8436.07877976,8969.21640059,59.56999609,21928.14934277,23041.57480549,7.033398,3444.95888868,7175.21495985,1398.90000009,55748.61956
04/15/2025 16:30:13,N,21891.78678059,28593.50074076,12366.98336029,8435.10791547,9062.64331352,59.24384923,21933.23949611,22970.86680018,7.033398,3596.75937768,7192.24453234,1400.90000009,55548.64903
04/15/2025 16:45:10,N,23216.02639497,30052.70694017,13157.67459869,8357.47290361,8989.19346979,58.46999607,21659.29703843,22685.33196008,7.033398,3304.35936645,7179.77798104,1398.90000009,56072.43329
04/15/2025 17:00:13,N,23576.96522791,31422.894398,13677.86715391,8641.5847818,9327.46562343,58.46999607,21153.3151915,22055.53973031,7.033398,3313.32077358,6965.07339,1410.90000009,56492.09521
04/15/2025 17:15:11,N,24181.25423861,32192.45040369,13924.90044403,8923.04310399,9541.303503,58.45999607,20497.0037657,21196.55260336,7.033398,3304.43913514,6972.65188956,1420,56629.01264
04/15/2025 17:30:09,N,24100.48483188,33880.02892088,14669.62817072,9254.1261754,9918.16284874,58.38599607,19711.2098596,20624.72782874,7.033398,3663.60912877,6982.50214457,1421,57108.0504
04/15/2025 17:45:11,N,25569.15724065,33993.04558539,14832.94013166,9341.54691967,10061.95997795,58.36999607,19235.04775214,19784.79747939,7.033398,3309.28380752,6975.19514131,1420.62890625,57065.68247
04/15/2025 18:00:14,N,25113.39694823,33330.39672303,14934.57802152,9803.8649342,10467.33756375,58.36999607,18141.86971998,18781.04226827,7.033398,3535.64923785,8161.42268255,1431.89257812,56826.00052
04/15/2025 18:15:11,N,26798.86435404,33524.80311231,14939.30233292,9825.2914229,10440.17066484,58.36999607,16620.7133668,16831.76463443,7.033398,3473.32365567,8130.4408327,1533,56018.85661
04/15/2025 18:30:10,N,28844.94199823,34130.58529639,15343.43475103,10132.73276156,10770.20798891,58.36999607,14242.30772304,14422.67300891,7.033398,3478.23161333,8103.25786009,1536,55847.53077
04/15/2025 18:45:10,N,30539.32945137,34543.3033874,15464.54880809,10455.64309918,11023.18498837,58.36999607,11528.55293297,11677.53219437,7.033398,3826.80836736,8096.19704511,1532,55446.28891
04/15/2025 19:00:11,N,31027.3869093,33931.53208851,15577.62892055,10757.5865308,11208.87001812,58.46999607,8457.26303087,8572.77593061,7.033398,6031.10579852,9666.98367843,1902,55098.22352
04/15/2025 19:15:10,N,32557.03436721,34747.97250628,16217.79514884,10835.37524494,11141.23536381,58.46999607,5547.25958454,5626.8562459,7.03734505,6457.13295626,9846.51910246,1914,54449.24124
04/15/2025 19:30:11,N,32986.43650952,35028.28419686,16481.16126753,11047.36652666,11140.84035211,58.46999607,2969.94366507,3010.82648496,7.033398,7467.07348793,9824.22505509,1916,53808.78153
04/15/2025 19:45:10,N,33721.4326866,35245.8646605,16444.81205844,10943.00545901,10960.353491,50.89999923,1196.59276792,1196.79062211,8.11300823,8033.2237896,9797.80856931,1916,53383.89873
04/15/2025 20:00:15,N,34999.24819788,36499.8363111,17114.12428188,10909.07630634,10909.07630634,.1,321.57675116,321.68528059,7.00001,7419.15073672,9341.97982847,1530,53314.65896
04/15/2025 20:15:10,N,35324.85987759,37436.336272,17366.55156993,10870.2325688,10870.2325688,.1,39.85943884,39.85943884,1.78486444,7258.85259572,9315.60897455,1533,53391.96828
04/15/2025 20:30:11,N,35241.45181449,37413.13755869,17406.44310474,11461.62520611,11461.62520611,.1,16.77000939,16.7743245,.00001,6625.7088056,9313.24494461,1532,53410.13861
04/15/2025 20:45:10,N,34912.81269672,37335.29990243,17406.50820446,12301.57250344,12301.57250344,.1,.25001,.25001,.00001,5908.03452164,9154.27696275,1533,53313.8616
04/15/2025 21:00:11,N,34136.9909934,36752.35932195,17421.08170115,13149.18395745,13149.18395745,.1,.34641199,.34641199,.10641199,5386.52945144,9681.76770373,1477,52850.7242
04/15/2025 21:15:12,N,33603.10530052,36611.66306495,17379.00510883,14081.41811066,14113.73188096,.1,.30640199,.30867492,.10865491,4681.80802551,8438.76300212,1477,52817.22252
04/15/2025 21:30:10,N,32611.00851817,36525.78773665,17282.40954589,14898.38737511,15059.81709694,.1,.30640199,.30717707,.10641199,4216.31383809,8878.74304941,1477,52053.49714
04/15/2025 21:45:10,N,32159.00453938,36046.92426013,16828.26872158,15606.6025725,15730.8736487,.1,.47309979,.47312979,.10641199,3579.81920863,9173.04467791,1479,51658.36757
04/15/2025 22:00:15,N,31150.3075705,36885.40310502,16617.99628067,16308.80813235,16447.38274019,.1,.38269687,.38327244,.10695756,3248.41621435,7725.06167992,1477,51216.0372
04/15/2025 22:15:10,N,30015.90329912,35747.22436749,15803.76004791,16818.95068347,16998.85538089,11.29999981,.75900937,.75903938,.1102399,3145.56449176,7291.34680378,1330.0814619,50267.03175
04/15/2025 22:30:11,N,28749.43681861,34549.76154208,15181.55196857,17638.20817697,17891.51585137,.1,1.03007359,1.03193531,.79698078,2928.44566459,7467.97500419,1325,49779.10799
04/15/2025 22:45:09,N,27422.12186826,33806.18355888,14851.7091217,18210.69629076,18511.27399471,.1,.35341425,.35438301,.11927881,3001.47792076,7549.63720387,1333,49065.21385
04/15/2025 23:00:12,N,26355.98961009,32814.35779261,14234.31155538,18795.20128878,19204.70504245,.1,1.89861784,1.8996818,1.65609511,3052.16759562,7548.39935656,1332,48732.18632
04/15/2025 23:15:09,N,25669.82302806,31551.24727702,13619.17088937,19028.46909078,19526.88774999,.1,.46026733,.46029733,.22346601,3034.95121633,7335.56050837,1335,47988.69472
04/15/2025 23:30:11,N,24804.61439615,31295.8445785,13478.3099519,19374.10181029,19922.3414862,.1,.47937522,.47940522,.22346601,2978.01283271,7573.91926806,1335,47546.4769
04/15/2025 23:45:10,N,24166.17962141,31318.59694218,13479.65019237,19539.17587117,20290.04132813,.1,.74250384,.74253384,.22346601,3029.70065219,7558.87509924,1333,47127.25496
